STR;01/12/2021;0804022547;53100000;Vte comptoir 01/12/2021;4;0
STR;01/12/2021;0804022543;53100000;Vte comptoir 01/12/2021;20;0
STR;01/12/2021;0801056251;53100000;Vte comptoir 01/12/2021;6,2000000000000002;0
STR;01/12/2021;0801056237;53100000;Vte comptoir 01/12/2021;2;0
STR;01/12/2021;0804022544;53100000;Vte comptoir 01/12/2021;0;5
STR;01/12/2021;0801056277;53100000;Vte comptoir 01/12/2021;0;0,80000000000000004
STR;01/12/2021;0801056275;53100000;Vte comptoir 01/12/2021;0;0,10000000000000001
STR;01/12/2021;0801056327;53100000;Vte comptoir 01/12/2021;0;10,1
STR;01/12/2021;0804022454;53100000;Vte comptoir 01/12/2021;0;5,0999999999999996
STR;01/12/2021;0804022500;53100000;Vte comptoir 01/12/2021;50;0
STR;01/12/2021;0801056338;53100000;Vte comptoir 01/12/2021;0;7,3499999999999996
STR;01/12/2021;0801056223;53100000;Vte comptoir 01/12/2021;0;15,1
STR;01/12/2021;0801056198;53100000;Vte comptoir 01/12/2021;50;0
STR;01/12/2021;0804022455;53100000;Vte comptoir 01/12/2021;0;0,59999999999999998
STR;01/12/2021;0801056173;53100000;Vte comptoir 01/12/2021;200;0
STR;01/12/2021;0801056190;53100000;Vte comptoir 01/12/2021;3;0
STR;01/12/2021;0801056327;53100000;Vte comptoir 01/12/2021;20;0
STR;01/12/2021;0804022548;53100000;Vte comptoir 01/12/2021;0;2,6000000000000001
STR;01/12/2021;0801056203;53100000;Vte comptoir 01/12/2021;0;5,25
STR;01/12/2021;0804022549;53100000;Vte comptoir 01/12/2021;4;0
STR;01/12/2021;0801056256;53100000;Vte comptoir 01/12/2021;0;0,80000000000000004
STR;01/12/2021;0801056186;53100000;Vte comptoir 01/12/2021;22,050000000000001;0
STR;01/12/2021;0801056168;53100000;Vte comptoir 01/12/2021;10;0
STR;01/12/2021;0801056256;53100000;Vte comptoir 01/12/2021;30;0
STR;01/12/2021;0804022544;53100000;Vte comptoir 01/12/2021;20;0
STR;01/12/2021;0801056341;53100000;Vte comptoir 01/12/2021;0;11,4
STR;01/12/2021;0801056232;53100000;Vte comptoir 01/12/2021;0;36,75
STR;01/12/2021;0804022526;53100000;Vte comptoir 01/12/2021;0;8,9000000000000004
STR;01/12/2021;0801056263;53100000;Vte comptoir 01/12/2021;21;0
STR;01/12/2021;0801056240;53100000;Vte comptoir 01/12/2021;0;10
STR;01/12/2021;0801056171;53100000;Vte comptoir 01/12/2021;0;15,5
STR;01/12/2021;0801056275;53100000;Vte comptoir 01/12/2021;12;0
STR;01/12/2021;0801056281;53100000;Vte comptoir 01/12/2021;10;0
STR;01/12/2021;0801056298;53100000;Vte comptoir 01/12/2021;15;0
STR;01/12/2021;0804022504;53100000;Vte comptoir 01/12/2021;3;0
STR;01/12/2021;0804022454;53100000;Vte comptoir 01/12/2021;10;0
STR;01/12/2021;0801056315;53100000;Vte comptoir 01/12/2021;3,8999999999999999;0
STR;01/12/2021;0804022549;53100000;Vte comptoir 01/12/2021;0;0,14999999999999999
